"site","param","tau","slope","intercept","fall_n","spring_n","summer_n","winter_n","df","test_stat_chi","test_stat_z","p_value_chi","p_value_z","slope_lcl","slope_ucl"
"103011","CL_TOT",0.502809492654419,0.666666666666667,-1246.203125,98,97,95,0,2,2.62266956687461,12.6197015538506,0.269460145297488,1.6444329521435e-36,0.6,0.739130434782609
"103011","DO",0.0347004414816356,0.0053452380952381,-8.89000000000002,98,98,95,0,2,1.12737067776924,0.885657251217496,0.56910783911536,0.375802250727663,-0.00602851760527072,0.0196018169663792
"103011","HARDNESS",0.518811297032071,1.28571428571429,-2472.33333333333,98,96,94,0,2,0.704286859539451,12.9764612449358,0.703179257904022,1.66392448761614e-38,1.13333333333333,1.4383243331786
"103011","TEMP",0.0389361446348357,0.00857142857142864,-15.185652173913,98,98,97,0,2,0.484656154748322,0.979416640920055,0.784798660627577,0.327374158080786,-0.00735730166640993,0.0539718308882384
"103011","ZN_TOT",-0.263874772570425,-3.31027777777778,6829.81228070175,0,71,67,0,1,0.499975338250078,-4.51814614205462,0.479510958545486,6.23834225045369e-06,-4.88643501501406,-2.01667999142054
"103031","CL_TOT",0.527216083232317,0.666666666666667,-1351.38461538462,104,108,107,0,2,5.13722765253524,13.9393187882093,0.0766417105512273,3.65411196744344e-44,0.607142857142857,0.740740740740741
"103031","DO",0.12884285525795,0.0210714285714286,-48.9300000000002,105,107,107,0,2,0.378343854083891,3.39205549234424,0.827644200042807,0.000693703891388363,0.00833333333333329,0.0342857142857143
"103031","HARDNESS",0.464674917999357,1.25,-2387.75,104,107,107,0,2,4.27513826971028,12.2614381257944,0.117941193978078,1.45887530862751e-34,1.08695652173913,1.41176470588235
"103031","TEMP",0.0251404655429423,0,11,105,109,109,0,2,0.757928434014211,0.673752855527407,0.684570108195331,0.500468452089326,-0.0114135710213499,0.044
"103031","ZN_TOT",-0.207437442922374,-3.5,7174.09090909091,0,76,74,0,1,0.324480436876689,-3.71532435376487,0.56892742607948,0.000202943199419334,-5.01515458904574,-1.75463237122044
"103041","CL_TOT",0.479211559698635,0.714285714285714,-1399.275625,99,102,97,0,2,4.26458014341762,12.2246570889287,0.118565459306909,2.29548286059093e-34,0.634560644825258,0.8
"103041","DO",0.223633435913194,0.0382051282051282,-67.1897759103642,106,105,102,0,2,3.25154121809408,5.81550104241189,0.196759991737646,6.04525365837802e-09,0.025,0.0511538461538461
"103041","HARDNESS",0.477189411117983,1.36842105263158,-2651.4,99,101,97,0,2,1.1163860342244,12.1164110896677,0.57224216196675,8.64631114211953e-34,1.18696727764871,1.56666666666667
"103041","TEMP",-0.0197865346424818,0,21.84,105,107,102,0,2,0.0939173950013489,-0.519439067471441,0.954126804598265,0.603454593670498,-0.0410217818705801,0.0131571272528375
"103041","ZN_TOT",-0.222072631869649,-7.5,14773.1169772257,0,73,69,0,1,2.50827624468451,-3.91603501766941,0.113249746057251,9.00171788502546e-05,-10.5555555555556,-4.23411454246972
"104011","CL_TOT",0.569588744588745,0.657142857142857,-1204.53571428571,89,89,92,0,2,0.498943564323525,13.7738755232288,0.779212268204783,3.66038100525007e-43,0.6,0.71875
"104011","DO",0.0685548718076417,0.0102878289473684,-5.99733520336602,94,95,99,0,2,0.759228501245001,1.70127306042782,0.68412525921197,0.0888917241978076,-0.000440368688402491,0.0229473345453849
"104011","HARDNESS",0.441096762790021,0.875,-1685.37222222222,89,88,91,0,2,3.78320426628392,10.6276626819917,0.150829965468986,2.21596495426733e-26,0.75,1
"104011","TEMP",0.0343840406952762,0.00427917620137298,0.526612903225715,88,91,92,0,2,1.70564671654957,0.855654206323192,0.426209888399168,0.39218907715777,-0.01125,0.0462308825072782
"104021","CL_TOT",0.613925127588948,0.65625,-1304.23333333333,96,99,100,0,2,0.474754909694894,15.5649475925719,0.78869353562893,1.25973267608535e-54,0.6,0.707317073170732
"104021","DO",0.0913654611087405,0.0140000000000001,-16.3156666666667,96,97,99,0,2,0.94636346323263,2.30347253596886,0.62301683903189,0.0212522706720992,0.00159213144015634,0.0254042220861345
"104021","HARDNESS",0.361560607057001,0.761904761904762,-1426.84166666667,96,99,99,0,2,1.22933486735923,9.15536134239099,0.540820724163373,5.41761925616966e-20,0.625,0.893892066680637
"104021","TEMP",0.0314795663908936,0.00381652661064425,-14.3312499999996,93,96,97,0,2,1.91728019986306,0.807836931878369,0.383413936244816,0.419184461502802,-0.011909603205097,0.0471428571428571
"104051","CL_TOT",0.616233146493457,0.72,-1440.94848484848,100,102,100,0,2,0.0614152129143122,15.8070449397569,0.969759082919742,2.78213980331619e-56,0.657142857142857,0.789473684210526
"104051","DO",0.0347333803147757,0.00555555555555568,-11.6663157894737,100,101,100,0,2,1.39182645164914,0.881738483329615,0.498618888356922,0.377918245063024,-0.0074904371756334,0.0214285714285715
"104051","HARDNESS",0.392181685522504,0.841025641025641,-1521.97989631336,100,102,98,0,2,1.66408403957823,10.0220912871618,0.435159773560263,1.21895944466005e-23,0.703657978435059,0.972972972972973
"104051","TEMP",-0.0181886313847573,0,22.56,97,99,99,0,2,0.92363688655109,-0.450327731873541,0.630136735118578,0.652474145651069,-0.0389308388424301,0.0258453731411326
"105011","CL_TOT",0.466058192277907,0.5025,-1013.07931218686,0,70,61,0,1,0.430766018400476,7.81770758177565,0.511613313906207,5.37939746234447e-15,0.423423532533095,0.6
"105011","DO",-0.0952380952380952,-0.0151785714285714,34.1403668831169,0,71,64,0,1,2.30246164469932,-1.53226438423882,0.129169142459653,0.125457206181772,-0.0353895258301031,0.00384553078457
